lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_queries_per_second,fsn_utilization_stddev
0.0,0.2,0.6,0.1,0.1,11138.7848,0.07605
0.0,0.2,0.6,0.2,0.0,11055.0204,0.078701
0.0,0.2,0.7,0.0,0.1,10833.2139,0.073952
0.0,0.2,0.7,0.1,0.0,10829.2017,0.074539
0.0,0.2,0.8,0.0,0.0,10838.8853,0.075024
0.0,0.3,0.0,0.0,0.7,10876.0282,0.083007
0.0,0.3,0.0,0.1,0.6,10755.5795,0.081747
0.0,0.3,0.0,0.2,0.5,10911.9594,0.083288
0.0,0.3,0.0,0.3,0.4,10802.9626,0.083293
0.0,0.3,0.0,0.4,0.3,10750.9923,0.084627
0.0,0.3,0.0,0.5,0.2,11026.6944,0.082991
0.0,0.3,0.0,0.6,0.1,10847.1246,0.082083
0.0,0.3,0.0,0.7,0.0,10775.3059,0.08447
0.0,0.3,0.1,0.0,0.6,8346.9284,0.063154
0.0,0.3,0.1,0.1,0.5,11020.7726,0.076047
0.0,0.3,0.1,0.2,0.4,10264.4144,0.068139
0.0,0.3,0.1,0.3,0.3,11015.2855,0.080628
0.0,0.3,0.1,0.4,0.2,10610.531,0.075667
0.0,0.3,0.1,0.5,0.1,10831.7107,0.073026
0.0,0.3,0.1,0.6,0.0,11074.7,0.079834
0.0,0.3,0.2,0.0,0.5,10445.8072,0.079242
0.0,0.3,0.2,0.1,0.4,10758.9966,0.077264
0.0,0.3,0.2,0.2,0.3,10960.1521,0.068002
0.0,0.3,0.2,0.3,0.2,10063.7296,0.074761
0.0,0.3,0.2,0.4,0.1,10613.6494,0.072614
0.0,0.3,0.2,0.5,0.0,10752.3933,0.074936
0.0,0.3,0.3,0.0,0.4,10327.219,0.067569
0.0,0.3,0.3,0.1,0.3,10807.2812,0.070438
0.0,0.3,0.3,0.2,0.2,11012.8981,0.073478
0.0,0.3,0.3,0.3,0.1,10537.6654,0.076644
0.0,0.3,0.3,0.4,0.0,10261.1399,0.072557
0.0,0.3,0.4,0.0,0.3,10396.5256,0.066412
0.0,0.3,0.4,0.1,0.2,10884.2459,0.083366
0.0,0.3,0.4,0.2,0.1,9891.0442,0.058729
0.0,0.3,0.4,0.3,0.0,10405.8197,0.067016
0.0,0.3,0.5,0.0,0.2,10546.1826,0.086599
0.0,0.3,0.5,0.1,0.1,10637.6076,0.069972
0.0,0.3,0.5,0.2,0.0,10085.1743,0.078477
0.0,0.3,0.6,0.0,0.1,9945.5165,0.06811
0.0,0.3,0.6,0.1,0.0,10954.2115,0.06615
0.0,0.3,0.7,0.0,0.0,11177.002,0.064546
0.0,0.4,0.0,0.0,0.6,10659.5046,0.08142
0.0,0.4,0.0,0.1,0.5,10944.0753,0.082829
0.0,0.4,0.0,0.2,0.4,10585.2567,0.082439
0.0,0.4,0.0,0.3,0.3,10594.4953,0.08224
0.0,0.4,0.0,0.4,0.2,10740.7544,0.081351
0.0,0.4,0.0,0.5,0.1,10653.6743,0.082499
